Index,STATION,ENTRYCOUNT
53,3 AV,172994.0
307,OZONE PK LEFFRT,172290.0
281,MORISN AV/SNDVW,171935.0
226,GATES AV,171679.0
62,36 AV,170073.0
372,YORK ST,169510.0
245,HUNTERS PT AV,169508.0
19,155 ST,169405.0
184,CITY HALL,168559.0
263,KINGSTON-THROOP,168494.0
311,PARSONS BLVD,168440.0
368,WINTHROP ST,168125.0
175,CASTLE HILL AV,168065.0
185,CLARK ST,166499.0
279,MONTROSE AV,163067.0
30,176 ST,160293.0
35,183 ST,160275.0
364,WESTCHESTER SQ,159772.0
166,BROOK AV,159385.0
227,GRAHAM AV,159039.0
162,BROAD ST,157952.0
56,30 AV,157619.0
80,52 ST,157456.0
18,15 ST-PROSPECT,157246.0
209,ELDER AV,156902.0
294,NEW LOTS AV,156602.0
324,RALPH AV,155596.0
356,VAN SICLEN AV,155461.0
190,CORTELYOU RD,155319.0
86,6 AV,155226.0
128,AVENUE J,154325.0
332,SARATOGA AV,152481.0
310,PARKSIDE AV,151490.0
208,EASTN PKWY-MUSM,150726.0
353,UNION ST,150393.0
249,JACKSON AV,148842.0
297,NEWARK C,148821.0
286,MYRTLE-WILLOUGH,147558.0
274,MARBLE HILL-225,145548.0
95,71 ST,144140.0
352,TWENTY THIRD ST,143828.0
39,20 AV,143692.0
28,174-175 STS,142075.0
343,STERLING ST,141919.0
138,BAY RIDGE-95 ST,141778.0
118,ALLERTON AV,140842.0
284,MT EDEN AV,139991.0
231,GRANT AV,139793.0
221,FRANKLIN ST,139108.0
265,KOSCIUSZKO ST,138476.0
34,182-183 STS,137682.0
361,WAKEFIELD/241,137542.0
295,NEW UTRECHT AV,137205.0
300,NEWKIRK AV,137024.0
223,FRESH POND RD,135962.0
299,NEWARK HW BMEBE,135169.0
186,CLASSON AV,131450.0
252,JAMAICA VAN WK,127936.0
267,LAFAYETTE AV,127305.0
222,FREEMAN ST,127192.0
203,E 149 ST,126533.0
159,BRIARWOOD,124994.0
48,233 ST,124740.0
337,SMITH-9 ST,123211.0
36,190 ST,122469.0
112,9 AV,121647.0
213,FAR ROCKAWAY,121077.0
308,PARK PLACE,119970.0
22,163 ST-AMSTERDM,117449.0
344,SUTPHIN BLVD,116522.0
262,KINGSTON AV,114172.0
289,NECK RD,112897.0
293,NEW LOTS,112617.0
326,RIT-MANHATTAN,110826.0
153,BEVERLY RD,109747.0
340,ST LAWRENCE AV,108644.0
45,225 ST,107993.0
327,RIT-ROOSEVELT,107991.0
49,238 ST,105025.0
157,BOWERY,102016.0
317,PENNSYLVANIA AV,101947.0
105,80 ST,101826.0
196,CYPRESS AV,101312.0
318,PRESIDENT ST,101173.0
237,HARLEM 148 ST,101064.0
264,KNICKERBOCKER,99562.0
207,EASTCHSTER/DYRE,99264.0
137,BAY RIDGE AV,98459.0
242,HOWARD BCH JFK,97600.0
205,EAST 105 ST,97235.0
65,4 AV-9 ST,96763.0
50,25 AV,96746.0
108,85 ST-FOREST PK,96554.0
367,WILSON AV,94115.0
51,25 ST,92247.0
200,DITMAS AV,91551.0
99,75 AV,90829.0
291,NEREID AV,90740.0
89,65 ST,89954.0
272,LONGWOOD AV,89842.0
168,BUHRE AV,89075.0
177,CENTRAL AV,88549.0
100,75 ST-ELDERTS,88505.0
169,BURKE AV,88274.0
247,INTERVALE AV,87291.0
44,219 ST,87274.0
180,CHAUNCEY ST,86825.0
304,NORWOOD AV,86602.0
335,SHEPHERD AV,86369.0
98,74 ST-BROADWAY,85878.0
306,OCEAN PKWY,85770.0
126,AVENUE H,84119.0
357,VAN SICLEN AVE,84082.0
12,138/GRAND CONC,83781.0
187,CLEVELAND ST,83387.0
139,BAYCHESTER AV,82659.0
3,104 ST,81389.0
152,BEVERLEY ROAD,81326.0
298,NEWARK HM HE,80469.0
64,39 AV,77479.0
218,FOREST AVE,75565.0
135,BAY 50 ST,74545.0
270,LIBERTY AV,73629.0
239,HEWES ST,71593.0
313,PATH WTC 2,69625.0
165,BRONX PARK EAST,68205.0
111,88 ST,68124.0
130,AVENUE N,66582.0
333,SENECA AVE,66570.0
373,ZEREGA AV,65081.0
117,ALABAMA AV,62803.0
145,BEACH 67 ST,62120.0
133,AVENUE X,60282.0
360,W 8 ST-AQUARIUM,60022.0
144,BEACH 60 ST,59331.0
131,AVENUE P,59036.0
282,MORRIS PARK,53678.0
278,MIDDLETOWN RD,51629.0
43,215 ST,51465.0
171,BUSHWICK AV,50873.0
41,21 ST,48747.0
366,WHITLOCK AV,48613.0
81,55 ST,47208.0
125,ATLANTIC AV,44632.0
156,BOTANIC GARDEN,43851.0
141,BEACH 25 ST,43462.0
120,AQUEDUCT RACETR,43036.0
290,NEPTUNE AV,41817.0
127,AVENUE I,40960.0
197,CYPRESS HILLS,35541.0
142,BEACH 36 ST,24975.0
119,AQUEDUCT N.COND,24275.0
202,E 143/ST MARY'S,24067.0
8,121 ST,22379.0
350,TOMPKINSVILLE,21132.0
146,BEACH 90 ST,20801.0
143,BEACH 44 ST,18240.0
330,ROCKAWAY PARK B,16543.0
147,BEACH 98 ST,12104.0
161,BROAD CHANNEL,7103.0
140,BEACH 105 ST,6232.0
